2026-05-28T17:08:35.667952+00:00 | AUDIT | tool=sha256sum | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-0\test_successful_execution0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-0\\test_successful_execution0\\sha256sum', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-0\\test_successful_execution0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T17:08:35.672541+00:00 | AUDIT | tool=mmls | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-0\test_shell_false_is_always_set0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-0\\test_shell_false_is_always_set0\\mmls', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-0\\test_shell_false_is_always_set0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T18:21:40.403991+00:00 | AUDIT | tool=sha256sum | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-1\test_successful_execution0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-1\\test_successful_execution0\\sha256sum', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-1\\test_successful_execution0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T18:21:40.408229+00:00 | AUDIT | tool=mmls | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-1\test_shell_false_is_always_set0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-1\\test_shell_false_is_always_set0\\mmls', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-1\\test_shell_false_is_always_set0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T19:08:23.535318+00:00 | AUDIT | tool=sha256sum | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-2\test_successful_execution0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-2\\test_successful_execution0\\sha256sum', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-2\\test_successful_execution0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T19:08:23.539567+00:00 | AUDIT | tool=mmls | path=C:\Users\Zhao Yan\AppData\Local\Temp\pytest-of-Zhao Yan\pytest-2\test_shell_false_is_always_set0\cases\disk.dd | cmd=['C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-2\\test_shell_false_is_always_set0\\mmls', 'C:\\Users\\Zhao Yan\\AppData\\Local\\Temp\\pytest-of-Zhao Yan\\pytest-2\\test_shell_false_is_always_set0\\cases\\disk.dd'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T23:05:47.813655+00:00 | AUDIT | tool=mmls | path=/cases/disk.dd | cmd=['/fake/bin/mmls', '/cases/disk.dd', '-t', 'dos'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T23:05:47.853759+00:00 | AUDIT | tool=volatility | path=/cases/mem.img | cmd=['/fake/bin/volatility', '-f', '/cases/mem.img', 'windows.pstree'] | rc=0 | status=SUCCESS | elapsed=0.000s
2026-05-28T23:23:03.919317+00:00 | AUDIT | tool=volatility | path=/cases/memory/rd01-memory.img | cmd=['/usr/local/bin/vol', '-f', '/cases/memory/rd01-memory.img', 'windows.info'] | rc=0 | status=SUCCESS | elapsed=6.522s
2026-05-28T23:23:10.551777+00:00 | AUDIT | tool=volatility | path=/cases/memory/rd01-memory.img | cmd=['/usr/local/bin/vol', '-f', '/cases/memory/rd01-memory.img', 'windows.pslist'] | rc=0 | status=SUCCESS | elapsed=44.506s
2026-05-29T03:46:13.470916+00:00 | AUDIT | tool=volatility | path=/cases/memory/rd01-memory.img | cmd=['/usr/local/bin/vol', '-f', '/cases/memory/rd01-memory.img', 'windows.netstat'] | rc=0 | status=SUCCESS | elapsed=4.532s
