Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xb78cf354aa20	TCPv4	192.168.1.5	53810	17.57.144.165	5223	ESTABLISHED	13224	APSDaemon.exe	2020-11-12 06:06:19.000000 UTC
0xb78cf3564e80	UDPv4	127.0.0.1	1900	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf35654c0	UDPv4	127.0.0.1	56521	*	0		27740	iCloudIE.exe	2020-11-16 00:14:48.000000 UTC
0xb78cf3565c90	UDPv4	192.168.1.5	1900	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf3566460	UDPv4	0.0.0.0	5050	*	0		7444	svchost.exe	2020-11-11 08:13:41.000000 UTC
0xb78cf35665f0	UDPv6	fe80::d18c:bb1:3264:8c8	1900	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf3566910	UDPv4	127.0.0.1	56522	*	0		27740	iCloudIE.exe	2020-11-16 00:14:48.000000 UTC
0xb78cf35670e0	UDPv6	::1	1900	*	0		3412	svchost.exe	2020-11-14 05:11:17.000000 UTC
0xb78cf3567400	UDPv4	127.0.0.1	52387	*	0		12756	iCloudServices	2020-11-11 08:14:15.000000 UTC
0xb78cf3567590	UDPv4	0.0.0.0	0	*	0		8432	googledrivesyn	2020-11-16 02:36:42.000000 UTC
0xb78cf3567590	UDPv6	::	0	*	0		8432	googledrivesyn	2020-11-16 02:36:42.000000 UTC
0xb78cf3567bd0	UDPv4	127.0.0.1	52388	*	0		12756	iCloudServices	2020-11-11 08:14:15.000000 UTC
0xb78cf3569020	UDPv4	0.0.0.0	0	*	0		8432	googledrivesyn	2020-11-16 02:36:37.000000 UTC
0xb78cf3569020	UDPv6	::	0	*	0		8432	googledrivesyn	2020-11-16 02:36:37.000000 UTC
0xb78cf356aab0	UDPv4	0.0.0.0	0	*	0		26568	Teams.exe	2020-11-14 05:00:49.000000 UTC
0xb78cf356aab0	UDPv6	::	0	*	0		26568	Teams.exe	2020-11-14 05:00:49.000000 UTC
0xb78cf356b0f0	UDPv4	127.0.0.1	50409	*	0		1536	secd.exe	2020-11-11 08:14:23.000000 UTC
0xb78cf356b280	UDPv4	0.0.0.0	3702	*	0		2772	dasHost.exe	2020-11-14 05:00:16.000000 UTC
0xb78cf356b280	UDPv6	::	3702	*	0		2772	dasHost.exe	2020-11-14 05:00:16.000000 UTC
0xb78cf356b410	UDPv4	0.0.0.0	3702	*	0		5928	svchost.exe	2020-11-14 05:00:16.000000 UTC
0xb78cf356b5a0	UDPv4	0.0.0.0	3702	*	0		2772	dasHost.exe	2020-11-14 05:00:16.000000 UTC
0xb78cf356ba50	UDPv4	0.0.0.0	3702	*	0		5928	svchost.exe	2020-11-14 05:00:16.000000 UTC
0xb78cf356bd70	UDPv4	127.0.0.1	61272	*	0		2844	svchost.exe	2020-11-14 05:00:17.000000 UTC
0xb78cf74dae10	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	840	lsass.exe	2020-11-11 08:13:14.000000 UTC
0xb78cf74dae10	TCPv6	::	49664	::	0	LISTENING	840	lsass.exe	2020-11-11 08:13:14.000000 UTC
0xb78cf760f010	TCPv4	192.168.1.5	3389	81.30.144.115	56687	CLOSED	1248	svchost.exe	2020-11-16 02:36:04.000000 UTC
0xb78cf768e010	TCPv4	192.168.1.5	50022	17.248.138.109	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-13 01:23:21.000000 UTC
0xb78cf76e2010	TCPv4	192.168.1.5	50095	17.248.138.110	443	CLOSE_WAIT	12532	iCloudPhotos.e	2020-11-13 01:33:05.000000 UTC
0xb78cf7a70310	UDPv4	0.0.0.0	61497	*	0		12808	Slack.exe	2020-11-16 02:30:38.000000 UTC
0xb78cf7a70310	UDPv6	::	61497	*	0		12808	Slack.exe	2020-11-16 02:30:38.000000 UTC
0xb78cf7aea790	TCPv4	192.168.1.5	3389	213.202.233.104	13939	CLOSED	1248	svchost.exe	2020-11-16 02:36:14.000000 UTC
0xb78cf7bef500	UDPv4	0.0.0.0	54172	*	0		11672	Teams.exe	2020-11-16 01:50:28.000000 UTC
0xb78cf7bef500	UDPv6	::	54172	*	0		11672	Teams.exe	2020-11-16 01:50:28.000000 UTC
0xb78cf7bef9b0	UDPv4	0.0.0.0	0	*	0		12808	Slack.exe	2020-11-16 01:48:09.000000 UTC
0xb78cf7bef9b0	UDPv6	::	0	*	0		12808	Slack.exe	2020-11-16 01:48:09.000000 UTC
0xb78cf7bf0950	UDPv4	0.0.0.0	0	*	0		19348	smartscreen.ex	2020-11-16 02:30:39.000000 UTC
0xb78cf7cd1c70	UDPv4	0.0.0.0	62967	*	0		11672	Teams.exe	2020-11-16 01:56:28.000000 UTC
0xb78cf7cd1c70	UDPv6	::	62967	*	0		11672	Teams.exe	2020-11-16 01:56:28.000000 UTC
0xb78cf7cd66a0	UDPv4	0.0.0.0	55442	*	0		11672	Teams.exe	2020-11-16 02:31:00.000000 UTC
0xb78cf7cd66a0	UDPv6	::	55442	*	0		11672	Teams.exe	2020-11-16 02:31:00.000000 UTC
0xb78cf7cd77d0	UDPv4	0.0.0.0	0	*	0		19348	smartscreen.ex	2020-11-16 02:30:39.000000 UTC
0xb78cf7cd77d0	UDPv6	::	0	*	0		19348	smartscreen.ex	2020-11-16 02:30:39.000000 UTC
